# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  127       4.730886507833e-10       1.426519640240e-13      -5.198168920201e-12       6.976086560177e-16       5.678427564289e-12       9.196635974592e-13      -5.612135858855e-15 
  128       4.776114969091e-10       1.434435541218e-13      -5.260936533731e-12       7.091692321557e-16       5.556590655864e-12       9.040637416295e-13      -5.527783183734e-15 
  129       4.821362716134e-10       1.441737894966e-13      -5.321794393347e-12       7.208469949899e-16       5.437740163271e-12       8.888085912991e-13      -5.445785995559e-15 
  130       4.866620541050e-10       1.448419784601e-13      -5.380675699980e-12       7.326428722147e-16       5.321839354991e-12       8.738957238291e-13      -5.366299925457e-15 
  131       4.911880270712e-10       1.454475371235e-13      -5.437515563952e-12       7.445578221390e-16       5.208899532811e-12       8.593261977046e-13      -5.289224525025e-15 
  132       4.957133150654e-10       1.459899477980e-13      -5.492249725458e-12       7.565928195783e-16       5.098918888489e-12       8.450993600625e-13      -5.214441961213e-15 
  133       5.002369829483e-10       1.464687606835e-13      -5.544814592537e-12       7.687488559842e-16       4.991882139960e-12       8.312127990149e-13      -5.141816592814e-15 
  134       5.047580343302e-10       1.468835955571e-13      -5.595147279058e-12       7.810269395743e-16       4.887760167551e-12       8.176622959724e-13      -5.071194546964e-15 
  135       5.092754100129e-10       1.472341434611e-13      -5.643185642691e-12       7.934280954616e-16       4.786509650189e-12       8.044417779672e-13      -5.002403295633e-15 
  136       5.137879864309e-10       1.475201683917e-13      -5.688868322895e-12       8.059533657848e-16       4.688072701617e-12       7.915432699767e-13      -4.935251232127e-15 
